id,r,g,b
0,43,47,206
1,162,203,118
2,147,210,11
3,130,56,55
4,229,141,203
5,38,27,159
6,193,11,245
7,251,164,128
8,82,239,232
9,97,184,83
10,70,209,228
11,213,220,89
12,32,151,196
13,255,101,221
14,44,216,103
15,106,43,131
16,10,160,82
17,26,165,166
18,30,192,25
19,50,130,53
20,104,5,98
21,21,119,12
22,177,106,230
23,4,122,235
24,116,134,19
25,16,154,4
26,41,246,77
27,77,64,178
28,249,79,73
29,204,143,135
30,39,219,151
31,188,18,5
32,137,197,162
33,123,48,18
34,210,96,94
35,60,138,96
36,110,123,37
37,131,182,184
38,79,150,223
39,20,99,179
40,42,7,136
41,139,156,252
42,33,87,158
43,127,65,105
44,233,100,78
45,22,61,247
46,7,204,185
47,228,142,81
48,172,172,138
49,174,249,197
50,105,127,176
51,6,46,86
52,136,202,58
53,171,88,168
54,23,199,139
55,107,68,190
56,244,117,51
57,27,8,38
58,178,221,213
59,80,205,152
60,209,247,202
61,168,231,15
62,149,111,207
63,154,159,251
64,176,24,50
65,9,76,45
66,235,208,124
67,197,84,22
68,111,178,117
69,87,15,150
70,223,248,167
71,83,82,52
72,248,44,10
73,240,59,210
74,175,6,140
75,166,245,3
76,122,183,222
77,138,223,226
78,2,185,62
79,187,70,156
80,143,112,56
81,232,250,80
82,5,60,233
83,230,136,198
84,142,1,246
85,150,9,121
86,76,110,234
87,12,158,41
88,144,238,194
89,165,28,61
90,183,10,186
91,117,93,91
92,140,167,255
93,141,174,0
94,13,94,165
95,61,212,54
96,238,228,154
97,36,74,95
98,231,115,40
99,129,235,107
100,63,73,209
101,34,201,248
102,31,95,84
103,17,91,237
104,159,58,173
105,84,170,220
106,95,224,39
107,73,35,225
108,59,37,212
109,74,81,2
110,200,45,170
111,14,32,79
112,118,193,163
113,64,86,142
114,45,157,177
115,163,227,112
116,128,189,114
117,132,2,14
118,201,144,169
119,198,180,122
120,62,217,189
121,155,166,218
122,221,83,47
123,48,188,172
124,179,147,43
125,56,214,26
126,108,116,224
127,239,85,20
128,69,148,46
129,224,186,249
130,208,125,68
131,250,40,113
132,217,173,183
133,145,71,201
134,227,133,211
135,57,240,137
136,219,103,127
137,47,42,63
138,113,49,134
139,18,211,66
140,215,4,215
141,236,38,187
142,71,146,227
143,88,207,100
144,186,139,153
145,40,63,99
146,3,177,32
147,53,118,126
148,101,109,181
149,167,140,147
150,214,92,13
151,160,113,101
152,72,137,21
153,243,215,145
154,169,233,97
155,185,243,231
156,24,175,120
157,253,41,164
158,192,255,193
159,93,14,71
160,15,241,102
161,8,234,216
162,46,104,76
163,66,226,253
164,75,50,243
165,114,161,30
166,78,98,254
167,28,34,108
168,119,230,85
169,237,33,141
170,241,77,149
171,252,36,67
172,191,195,144
173,100,25,240
174,25,62,174
175,247,200,111
176,52,187,148
177,170,179,42
178,181,213,93
179,67,17,35
180,245,22,110
181,158,114,88
182,157,23,236
183,164,194,17
184,109,206,24
185,234,20,250
186,216,78,75
187,203,102,204
188,148,66,130
189,65,54,217
190,91,168,219
191,99,242,104
192,1,222,192
193,180,191,29
194,133,244,133
195,96,232,44
196,184,145,182
197,202,97,155
198,51,155,241
199,246,90,16
200,225,131,92
201,120,0,200
202,218,124,115
203,134,57,119
204,58,19,33
205,37,128,125
206,173,69,31
207,85,152,34
208,222,153,109
209,126,129,238
210,98,55,74
211,125,75,48
212,207,229,90
213,92,31,106
214,152,3,129
215,86,254,214
216,220,163,49
217,35,196,244
218,254,12,229
219,199,29,1
220,90,162,242
221,182,251,87
222,94,253,175
223,195,237,132
224,19,132,69
225,124,21,123
226,103,252,157
227,54,72,205
228,189,135,188
229,211,80,208
230,212,51,60
231,205,120,161
232,194,39,7
233,151,126,171
234,226,149,143
235,146,52,70
236,0,53,65
237,121,67,28
238,196,30,8
239,11,236,9
240,68,218,116
241,49,89,160
242,156,198,23
243,242,107,146
244,102,16,239
245,29,26,199
246,135,169,180
247,161,171,27
248,115,176,195
249,81,13,36
250,206,190,59
251,190,225,64
252,89,121,72
253,112,105,191
254,153,108,6
255,55,181,57
