id,r,g,b
1,203,174,42
2,177,172,224
3,160,183,145
4,224,241,137
5,232,224,132
6,153,64,105
7,179,217,227
8,208,214,91
9,192,213,219
10,95,90,229
11,170,71,248
12,249,173,199
13,205,228,85
14,121,160,208
15,141,238,180
16,59,246,53
17,227,96,50
18,183,140,93
19,0,126,138
20,199,125,143
21,242,201,197
22,202,186,214
23,226,109,46
24,232,182,208
25,235,124,133
26,235,152,233
27,223,192,223
28,127,145,232
29,170,254,206
30,185,81,184
31,77,190,142
32,227,247,190
33,163,254,216
34,220,253,158
35,160,209,249
36,229,95,13
37,255,61,243
38,104,227,250
39,239,209,121
40,157,255,236
41,203,28,189
42,162,98,173
43,233,243,160
44,186,148,120
45,167,128,147
46,186,189,247
47,240,203,175
48,156,203,102
49,215,142,98
50,106,188,186
51,131,77,101
52,192,130,182
53,238,185,179
54,182,0,229
55,241,190,162
56,251,160,71
57,124,205,249
58,230,166,205
59,221,199,220
60,165,245,115
61,191,250,191
62,219,224,95
63,13,240,225
64,167,249,171
65,161,212,238
66,138,127,237
67,200,139,189
68,231,170,231
69,237,150,148
70,245,79,253
71,175,232,86
72,210,226,73
73,206,85,246
74,206,178,159
75,251,83,175
76,140,73,104
77,219,236,163
78,213,218,113
79,125,222,200
80,252,229,176
81,88,135,215
82,168,88,248
83,224,227,198
84,254,105,140
85,249,149,201
86,247,101,196
87,182,244,156
88,93,102,174
89,150,167,255
90,178,208,96
91,148,122,250
92,139,242,254
93,118,171,148
94,50,245,237
95,69,249,170
96,163,66,144
97,225,255,226
98,254,112,210
99,86,216,182
100,221,250,244
101,213,245,166
102,250,236,199
103,145,194,81
104,208,178,169
105,236,162,64
106,211,196,200
107,169,175,219
108,126,181,186
109,28,217,99
110,110,136,167
111,222,195,203
112,159,233,168
113,144,199,242
114,246,108,222
115,236,34,236
116,75,235,139
117,178,121,192
118,119,113,136
119,238,170,187
120,130,248,194
121,242,191,235
122,199,144,230
123,237,215,220
124,253,110,178
125,233,186,141
126,241,222,252
127,142,200,118
128,248,156,79
129,174,180,241
130,129,236,90
131,218,200,114
132,120,223,214
133,239,155,119
134,205,211,238
135,135,237,223
136,228,219,184
137,230,198,213
138,190,22,66
139,188,223,178
140,209,242,177
141,117,206,217
142,137,157,197
143,181,226,209
144,66,99,151
145,229,117,213
146,147,153,22
147,132,106,235
148,146,104,241
149,164,241,109
150,155,213,239
151,207,131,215
152,73,161,247
153,98,164,155
154,102,230,252
155,136,146,234
156,189,246,173
157,244,179,110
158,105,147,164
159,247,243,204
160,134,235,127
161,64,163,210
162,196,215,0
163,196,211,255
164,180,163,161
165,220,56,222
166,210,93,134
167,198,247,226
168,61,206,112
169,148,175,245
170,202,53,183
171,197,13,251
172,244,193,228
173,38,133,245
174,245,253,152
175,197,177,129
176,222,143,205
177,22,221,135
178,194,240,242
179,184,220,240
180,211,251,28
181,216,42,196
182,248,132,234
183,252,115,56
184,155,154,125
185,240,252,211
186,158,69,202
187,176,218,180
188,228,155,83
189,246,233,185
190,53,148,117
191,217,86,122
192,204,207,253
193,201,176,233
194,212,244,69
195,234,252,230
196,152,232,203
197,218,239,236
198,91,50,108
199,250,180,124
200,173,141,224
201,85,229,195
202,214,159,212
203,193,230,131
204,42,118,157
205,172,187,217
206,215,252,228
207,214,214,194
208,243,197,153
209,46,231,221
210,83,134,252
211,245,168,150
212,187,138,172
213,101,158,206
214,195,205,254
215,113,46,193
216,79,167,218
217,151,202,240
218,190,220,221
219,175,184,106
220,133,194,165
221,234,165,163
222,184,120,75
223,194,228,209
224,223,75,38
225,109,238,202
226,231,197,192
227,252,151,146
228,149,137,218
229,112,251,149
230,71,204,34
231,180,192,77
232,34,184,246
233,217,173,244
234,81,182,61
235,171,38,167
236,122,189,126
237,96,225,88
238,90,210,211
239,56,208,154
240,173,114,190
241,115,237,170
242,255,169,239
243,99,202,227
244,236,239,160
245,143,234,243
246,166,221,155
247,154,248,245
248,253,210,188
249,226,59,251
250,108,91,207
251,243,196,231
252,189,129,128
253,200,234,59
254,209,231,181
255,114,119,232
